,Survived,Pclass,Age,SibSp,Parch,Fare,Cabin,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
0,0.0,3.0,22.0,1.0,0.0,7.25,0,0,1,0,0,1
1,1.0,1.0,38.0,1.0,0.0,71.2833,1,1,0,1,0,0
2,1.0,3.0,26.0,0.0,0.0,7.925,0,1,0,0,0,1
3,1.0,1.0,35.0,1.0,0.0,53.1,1,1,0,0,0,1
4,0.0,3.0,35.0,0.0,0.0,8.05,0,0,1,0,0,1
5,0.0,3.0,30.0,0.0,0.0,8.4583,0,0,1,0,1,0
6,0.0,1.0,54.0,0.0,0.0,51.8625,1,0,1,0,0,1
7,0.0,3.0,2.0,3.0,1.0,21.075,0,0,1,0,0,1
8,1.0,3.0,27.0,0.0,2.0,11.1333,0,1,0,0,0,1
9,1.0,2.0,14.0,1.0,0.0,30.0708,0,1,0,1,0,0
10,1.0,3.0,4.0,1.0,1.0,16.7,1,1,0,0,0,1
11,1.0,1.0,58.0,0.0,0.0,26.55,1,1,0,0,0,1
12,0.0,3.0,20.0,0.0,0.0,8.05,0,0,1,0,0,1
13,0.0,3.0,39.0,1.0,5.0,31.275,0,0,1,0,0,1
14,0.0,3.0,14.0,0.0,0.0,7.8542,0,1,0,0,0,1
15,1.0,2.0,55.0,0.0,0.0,16.0,0,1,0,0,0,1
16,0.0,3.0,2.0,4.0,1.0,29.125,0,0,1,0,1,0
17,1.0,2.0,30.0,0.0,0.0,13.0,0,0,1,0,0,1
18,0.0,3.0,31.0,1.0,0.0,18.0,0,1,0,0,0,1
19,1.0,3.0,35.0,0.0,0.0,7.225,0,1,0,1,0,0
20,0.0,2.0,35.0,0.0,0.0,26.0,0,0,1,0,0,1
21,1.0,2.0,34.0,0.0,0.0,13.0,1,0,1,0,0,1
22,1.0,3.0,15.0,0.0,0.0,8.0292,0,1,0,0,1,0
23,1.0,1.0,28.0,0.0,0.0,35.5,1,0,1,0,0,1
24,0.0,3.0,8.0,3.0,1.0,21.075,0,1,0,0,0,1
25,1.0,3.0,38.0,1.0,5.0,31.3875,0,1,0,0,0,1
26,0.0,3.0,30.0,0.0,0.0,7.225,0,0,1,1,0,0
27,0.0,1.0,19.0,3.0,2.0,263.0,1,0,1,0,0,1
28,1.0,3.0,21.0,0.0,0.0,7.8792,0,1,0,0,1,0
29,0.0,3.0,30.0,0.0,0.0,7.8958,0,0,1,0,0,1
30,0.0,1.0,40.0,0.0,0.0,27.7208,0,0,1,1,0,0
31,1.0,1.0,35.0,1.0,0.0,146.5208,1,1,0,1,0,0
32,1.0,3.0,21.0,0.0,0.0,7.75,0,1,0,0,1,0
33,0.0,2.0,66.0,0.0,0.0,10.5,0,0,1,0,0,1
34,0.0,1.0,28.0,1.0,0.0,82.1708,0,0,1,1,0,0
35,0.0,1.0,42.0,1.0,0.0,52.0,0,0,1,0,0,1
36,1.0,3.0,30.0,0.0,0.0,7.2292,0,0,1,1,0,0
37,0.0,3.0,21.0,0.0,0.0,8.05,0,0,1,0,0,1
38,0.0,3.0,18.0,2.0,0.0,18.0,0,1,0,0,0,1
39,1.0,3.0,14.0,1.0,0.0,11.2417,0,1,0,1,0,0
40,0.0,3.0,40.0,1.0,0.0,9.475,0,1,0,0,0,1
41,0.0,2.0,27.0,1.0,0.0,21.0,0,1,0,0,0,1
42,0.0,3.0,30.0,0.0,0.0,7.8958,0,0,1,1,0,0
43,1.0,2.0,3.0,1.0,2.0,41.5792,0,1,0,1,0,0
44,1.0,3.0,19.0,0.0,0.0,7.8792,0,1,0,0,1,0
45,0.0,3.0,30.0,0.0,0.0,8.05,0,0,1,0,0,1
46,0.0,3.0,30.0,1.0,0.0,15.5,0,0,1,0,1,0
47,1.0,3.0,21.0,0.0,0.0,7.75,0,1,0,0,1,0
48,0.0,3.0,30.0,2.0,0.0,21.6792,0,0,1,1,0,0
49,0.0,3.0,18.0,1.0,0.0,17.8,0,1,0,0,0,1
50,0.0,3.0,7.0,4.0,1.0,39.6875,0,0,1,0,0,1
51,0.0,3.0,21.0,0.0,0.0,7.8,0,0,1,0,0,1
52,1.0,1.0,49.0,1.0,0.0,76.7292,1,1,0,1,0,0
53,1.0,2.0,29.0,1.0,0.0,26.0,0,1,0,0,0,1
54,0.0,1.0,65.0,0.0,1.0,61.9792,1,0,1,1,0,0
55,1.0,1.0,30.0,0.0,0.0,35.5,1,0,1,0,0,1
56,1.0,2.0,21.0,0.0,0.0,10.5,0,1,0,0,0,1
57,0.0,3.0,28.5,0.0,0.0,7.2292,0,0,1,1,0,0
58,1.0,2.0,5.0,1.0,2.0,27.75,0,1,0,0,0,1
59,0.0,3.0,11.0,5.0,2.0,46.9,0,0,1,0,0,1
60,0.0,3.0,22.0,0.0,0.0,7.2292,0,0,1,1,0,0
61,0.0,1.0,45.0,1.0,0.0,83.475,1,0,1,0,0,1
62,0.0,3.0,4.0,3.0,2.0,27.9,0,0,1,0,0,1
63,0.0,1.0,30.0,0.0,0.0,27.7208,0,0,1,1,0,0
64,1.0,3.0,3.5,1.0,1.0,15.2458,0,0,1,1,0,0
65,1.0,2.0,29.0,0.0,0.0,10.5,1,1,0,0,0,1
66,0.0,3.0,19.0,0.0,0.0,8.1583,0,0,1,0,0,1
67,1.0,3.0,17.0,4.0,2.0,7.925,0,1,0,0,0,1
68,0.0,3.0,26.0,2.0,0.0,8.6625,0,0,1,0,0,1
